Time	DO	OURex
min	mg/l	mg/l/min
0	8.48823381	0.00651276
0.014845	8.48869102	0.02220774
0.031511667	8.49305846	0.03790266
0.05	8.49539382	0.05359764
0.066928333	8.49239154	0.06929262
0.084115	8.48156965	0.08498754
0.100261667	8.48055853	0.10068252
0.117448333	8.48287847	0.1163775
0.134115	8.48381655	0.13207242
0.150781667	8.49104506	0.1477674
0.167448333	8.485796	0.16346238
0.183855	8.47540311	0.1791573
0.200781667	8.47250422	0.19485228
0.217448333	8.47303091	0.2105472
0.233855	8.47027345	0.22624218
0.250261667	8.46343656	0.24193716
0.267448333	8.45294705	0.25763208
0.283595	8.44647607	0.27216678
0.3	8.44122974	0.28563396
0.317188333	8.42929731	0.29766948
0.334115	8.42065915	0.30831714
0.34922	8.4159044	0.3191454
0.365886667	8.40712145	0.32975178
0.383333333	8.40225829	0.3397362
0.400781667	8.39441232	0.34931106
0.417448333	8.3832867	0.35821524
0.434115	8.38229164	0.36741612
0.450781667	8.3823719	0.3782553
0.466146667	8.37138357	0.3882213
0.482031667	8.36597104	0.39686364
0.497916667	8.35729409	0.40425984
0.513541667	8.35675696	0.4111938
0.530208333	8.35555539	0.42028254
0.546355	8.34678027	0.42913296
0.564323333	8.33873548	0.43589832
0.58073	8.33276764	0.44244522
0.59974	8.32624736	0.4484601
0.617188333	8.31316718	0.45300498
0.634115	8.30830797	0.45707994
0.650781667	8.29840985	0.46153428
0.667448333	8.29305924	0.46567716
0.684115	8.28488494	0.46919322
0.700781667	8.26100103	0.47159094
0.715365	8.24427984	0.47252844
0.728906667	8.24576806	0.47279442
0.745573333	8.24593045	0.4736142
0.76224	8.2515889	0.47522328
0.78047	8.24632836	0.47709702
0.797916667	8.22196003	0.47853096
0.81224	8.21598755	0.47945424
0.828906667	8.21646836	0.48111666
0.845573333	8.21333324	0.48351732
0.86224	8.20885424	0.48630234
0.878906667	8.20133948	0.48899706
0.895573333	8.19429745	0.49100232
0.91224	8.18922103	0.49228224
0.928906667	8.18674545	0.4932225
0.945573333	8.17901997	0.4946706
0.963021667	8.1688913	0.49683396
0.979428333	8.15832676	0.49875714
0.997396667	8.15065739	0.49953816
1.01432333	8.13587748	0.50089644
1.03047	8.124091	0.501675
1.046615	8.12660858	0.50263344
1.06380333	8.11916532	0.50507232
1.07994833	8.10876875	0.50545158
1.096615	8.1057888	0.50561646
1.11380333	8.09671423	0.50702424
1.12942833	8.09104733	0.50776146
1.146615	8.0902367	0.50882598
1.16380333	8.08530059	0.50959536
1.18151167	8.08229331	0.51069168
1.20026167	8.0793698	0.51124512
1.21875	8.0706299	0.51128142
1.23645833	8.05407891	0.51202878
1.252865	8.03341335	0.51240336
1.26797	8.01694446	0.51258552
1.28307333	8.01733875	0.51294306
1.29869833	8.02618572	0.51275616
1.31588667	8.02194302	0.51221592
1.33281333	8.0014664	0.51110772
1.34817833	7.99920411	0.5101065
1.36614667	7.99095634	0.51038952
1.38073	7.98294203	0.51040158
1.39713667	7.98761205	0.5094867
1.41328167	7.9838115	0.50970042
1.42994833	7.97773752	0.50995584
1.446875	7.96182165	0.509139
1.4625	7.96450094	0.50904438
1.48099	7.96150887	0.50913888
1.49817833	7.94959058	0.50883018
1.515105	7.94445723	0.50853738
1.53229167	7.9369358	0.50766198
1.54869833	7.91621209	0.50531958
1.56432333	7.91105264	0.501891
1.58099	7.91457809	0.49983132
1.59817833	7.90519592	0.49884738
